,Symbol,Name,Sector,industry,Exchange,CIK
3984,TUES,Tuesday Morning Corp.,Consumer Services,Department/Specialty Retail Stores,NASDAQ,878726
3985,TUP,Tupperware Brands Corporation,Consumer Non-Durables,Plastic Products,NYSE,1008654
3986,TVC,Tennessee Valley Authority,Public Utilities,Electric Utilities: Central,NYSE,1376986
3987,TVIA,"TerraVia Holdings, Inc.",Basic Industries,Major Chemicals,NASDAQ,1109279
3988,TVPT,Travelport Worldwide Limited,Consumer Services,Transportation Services,NYSE,1424755
3989,TWI,"Titan International, Inc.",Basic Industries,Steel/Iron Ore,NYSE,899751
3990,TWIN,"Twin Disc, Incorporated",Technology,Industrial Machinery/Components,NASDAQ,100378
3991,TWMC,Trans World Entertainment Corp.,Consumer Services,Consumer Electronics/Video Chains,NASDAQ,795212
3992,TWN,"Taiwan Fund, Inc. (The)",,,NYSE,804123
3993,TWO,Two Harbors Investments Corp,Consumer Services,Real Estate Investment Trusts,NYSE,1465740
3994,TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ,1459417
3995,TWTR,"Twitter, Inc.",Technology,"Computer Software: Programming, Data Processing",NYSE,1418091
3996,TWX,Time Warner Inc.,Consumer Services,Television Services,NYSE,1105705
3997,TXMD,"TherapeuticsMD, Inc.",Health Care,Major Pharmaceuticals,AMEX,25743
3998,TXN,Texas Instruments Incorporated,Technology,Semiconductors,NASDAQ,97476
3999,TXRH,"Texas Roadhouse, Inc.",Consumer Services,Restaurants,NASDAQ,1289460
4000,TXT,Textron Inc.,Capital Goods,Aerospace,NYSE,217346
4001,TY,Tri Continental Corporation,,,NYSE,99614
4002,TYG,Tortoise Energy Infrastructure Corporation,,,NYSE,1268533
4003,TYL,"Tyler Technologies, Inc.",Technology,Computer Software: Prepackaged Software,NYSE,860731
4004,TYPE,Monotype Imaging Holdings Inc.,Technology,EDP Services,NASDAQ,1385292
4005,TZOO,Travelzoo Inc.,Technology,EDP Services,NASDAQ,1133311
4006,UAL,"United Continental Holdings, Inc.",Transportation,Air Freight/Delivery Services,NYSE,100517
4007,UAM,Universal American Corp.,Health Care,Medical Specialities,NYSE,1514128
4008,UAMY,United States Antimony Corporation,Capital Goods,Metal Fabrications,AMEX,101538
4009,UAN,"CVR Partners, LP",Basic Industries,Agricultural Chemicals,NYSE,1425292
4010,UBA,Urstadt Biddle Properties Inc.,Consumer Services,Real Estate Investment Trusts,NYSE,1029800
4011,UBCP,"United Bancorp, Inc.",Finance,Major Banks,NASDAQ,731653
4012,UBFO,United Security Bancshares,Finance,Major Banks,NASDAQ,1137547
4013,UBNK,"United Financial Bancorp, Inc. ",Finance,Banks,NASDAQ,1405049
4014,UBNT,"Ubiquiti Networks, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ,1511737
4015,UBOH,"United Bancshares, Inc.",Finance,Major Banks,NASDAQ,1087456
4016,UBSH,Union Bankshares Corporation,Finance,Major Banks,NASDAQ,886948
4017,UBSI,"United Bankshares, Inc.",Finance,Major Banks,NASDAQ,729986
4018,UCBA,United Community Bancorp,Finance,Savings Institutions,NASDAQ,1514131
4019,UCBI,"United Community Banks, Inc.",Finance,Major Banks,NASDAQ,857855
4020,UCFC,United Community Financial Corp.,Finance,Banks,NASDAQ,707886
4021,UCP,"UCP, Inc.",Capital Goods,Homebuilding,NYSE,1572684
4022,UCTT,"Ultra Clean Holdings, Inc.",Technology,Semiconductors,NASDAQ,1275014
4023,UDR,"United Dominion Realty Trust, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,74208
4024,UE,Urban Edge Properties,Finance,Real Estate,NYSE,1611547
4025,UEC,Uranium Energy Corp.,Basic Industries,Precious Metals,AMEX,1334933
4026,UEIC,Universal Electronics Inc.,Consumer Non-Durables,Consumer Electronics/Appliances,NASDAQ,101984
4027,UEPS,"Net 1 UEPS Technologies, Inc.",Finance,Investment Bankers/Brokers/Service,NASDAQ,1041514
4028,UFAB,"Unique Fabricating, Inc.",Capital Goods,Auto Parts:O.E.M.,AMEX,101990
4029,UFCS,"United Fire Group, Inc",Finance,Property-Casualty Insurers,NASDAQ,101199
4030,UFI,"Unifi, Inc.",Consumer Non-Durables,Textiles,NYSE,100726
4031,UFPI,"Universal Forest Products, Inc.",Basic Industries,Forest Products,NASDAQ,912767
4032,UFPT,"UFP Technologies, Inc.",Capital Goods,Containers/Packaging,NASDAQ,914156
4033,UFS,Domtar Corporation,Basic Industries,Paper,NYSE,1381531
4034,UG,"United-Guardian, Inc.",Consumer Non-Durables,Package Goods/Cosmetics,NASDAQ,101295
